Number_of_topics,Beta,c_v,u_mass,c_uci,c_npmi
67,1,0.480598066,-6.775179615,-3.808144335,-0.097318176
155,0.05,0.380173247,-3.753785441,-3.450827071,-0.097580389
155,0.05,0.380173247,-3.753785441,-3.450827071,-0.097580389
155,0.05,0.380173247,-3.753785441,-3.450827071,-0.097580389
150,0.05,0.385186878,-3.709465422,-3.432610165,-0.098076821
61,1,0.466155738,-6.106222045,-3.747748183,-0.098174325
68,0.8,0.44863634,-5.284585526,-3.791381408,-0.098316972
67,0.9,0.469205133,-6.146193063,-3.799910787,-0.098412158
60,1,0.471339645,-6.148816296,-3.806195269,-0.098541307
60,1,0.471339645,-6.148816296,-3.806195269,-0.098541307
160,0.05,0.385779506,-3.858768605,-3.462840227,-0.098693306
160,0.05,0.385779506,-3.858768605,-3.462840227,-0.098693306
170,0.01,0.376519866,-3.751985038,-3.419052967,-0.099208888
145,1,0.430139669,-10.10647368,-3.747889508,-0.09969437
170,0.001,0.377261116,-3.775620722,-3.427381023,-0.099698186
110,1,0.457054269,-8.936459546,-3.839892803,-0.099751219
140,0.1,0.381730094,-3.981249869,-3.524201131,-0.099994356
175,0.005,0.381102929,-3.854618642,-3.488523063,-0.100057287
120,1,0.44580645,-9.278822251,-3.7943986,-0.100093112
90,0.5,0.43498743,-5.282189598,-3.773728507,-0.100120746
90,0.5,0.43498743,-5.282189598,-3.773728507,-0.100120746
175,0.01,0.383516646,-3.904338602,-3.504830701,-0.101139236
170,0.005,0.380669689,-3.857738767,-3.478959998,-0.101196418
60,0.8,0.455029743,-5.082996348,-3.827701222,-0.10126184
175,0.001,0.381060454,-3.843659377,-3.515490012,-0.101270606
165,0.01,0.38162555,-3.73241879,-3.498683946,-0.101377273
64,1,0.464062355,-6.37214627,-3.893663805,-0.101749224
105,1,0.449358713,-9.097999468,-3.848483131,-0.101768648
165,0.001,0.379320755,-3.740446138,-3.507704324,-0.101837509
65,0.9,0.467808479,-6.349779615,-3.876122166,-0.101879457
180,0.001,0.38062861,-3.800182028,-3.519021581,-0.102096897
165,0.005,0.381544022,-3.740047385,-3.530885508,-0.102117063
62,1,0.472105802,-6.430386721,-3.894603095,-0.102322829
240,1,0.414440495,-11.23936633,-3.603802822,-0.102372456
180,0.005,0.384824695,-3.847689728,-3.542877467,-0.102622212
70,1,0.473063709,-7.21978625,-3.905487321,-0.102813953
180,1,0.427573525,-10.6491381,-3.722460727,-0.103378331
175,1,0.430216067,-10.27182208,-3.79779813,-0.103488717
68,0.9,0.458960655,-5.863832284,-3.936835174,-0.103506482
185,0.001,0.386767268,-3.912256627,-3.592316894,-0.103935937
180,0.01,0.38803244,-3.902651809,-3.584759025,-0.103986293
185,0.005,0.387062036,-3.933998674,-3.594935653,-0.104100055
235,1,0.415493798,-11.07947821,-3.616849396,-0.10427611
210,1,0.418719743,-10.90222646,-3.679032613,-0.104402405
225,1,0.414499615,-10.99925925,-3.671648337,-0.104425553
230,1,0.410057569,-11.44378938,-3.606800846,-0.104502543
65,1,0.472425199,-6.730615075,-3.945755707,-0.104511729
65,1,0.472425199,-6.730615075,-3.945755707,-0.104511729
130,1,0.437740662,-9.55310017,-3.850756985,-0.105468525
