Number_of_topics,Beta,c_v,u_mass,c_uci,c_npmi
33,0.005,0.533083936,-2.26208356,-1.23235759,0.019662756
8,0.6,0.518611828,-2.337402269,-1.177309614,0.019638806
34,0.03,0.561909782,-2.410756932,-1.344737258,0.019589574
18,0.04,0.539661048,-2.559147439,-1.287517587,0.01949955
20,0.02,0.535106882,-2.452836512,-1.369050441,0.019360355
37,0.01,0.528141258,-2.392513005,-1.397040726,0.019094367
34,0.07,0.560742954,-2.54732999,-1.456621673,0.019055239
19,0.01,0.508884368,-2.236035981,-1.233813003,0.01887396
26,0.005,0.540506285,-2.529979057,-1.581796971,0.018834628
30,0.05,0.534956183,-2.26197405,-1.320610123,0.018795677
30,0.05,0.534956183,-2.26197405,-1.320610123,0.018795677
15,0.8,0.552647898,-3.578394512,-1.671572561,0.018602169
37,0.04,0.533480583,-2.43240032,-1.4241377,0.018549611
29,0.04,0.529823423,-2.272788383,-1.353148452,0.018481264
32,0.005,0.547407928,-2.407636944,-1.387769022,0.018403101
26,0.01,0.538494156,-2.51090439,-1.578920765,0.018375761
37,0.02,0.529868529,-2.410666491,-1.428135369,0.018369702
31,0.01,0.545864721,-2.365893657,-1.372864691,0.018321766
13,0.8,0.540250446,-2.982534283,-1.676292795,0.018221604
8,0.07,0.519353364,-2.600175271,-1.289852802,0.018170435
19,0.02,0.5085831,-2.236178216,-1.259911637,0.018073932
19,0.03,0.502807752,-2.275396688,-1.286371727,0.017771961
33,0.03,0.531157255,-2.29397134,-1.331524652,0.017681894
37,0.005,0.525624373,-2.402435493,-1.4075189,0.017566936
15,0.9,0.549927188,-3.899243166,-1.739662266,0.017395352
30,0.06,0.532128289,-2.339602009,-1.373186751,0.017261199
13,0.08,0.534470361,-2.570341254,-1.481964518,0.017180203
16,0.09,0.539402223,-2.753285489,-1.44532675,0.017092445
20,0.06,0.526051727,-2.505976637,-1.441636651,0.017080624
10,1,0.557729592,-3.103797721,-1.644113534,0.016880806
37,0.05,0.534953091,-2.413367034,-1.464944313,0.016822022
8,0.05,0.524691069,-2.702454117,-1.329159524,0.016684283
13,0.1,0.545021375,-2.541140203,-1.466458493,0.016524359
20,0.05,0.528377084,-2.580923788,-1.49693485,0.016223479
20,0.05,0.528377084,-2.580923788,-1.49693485,0.016223479
8,0.06,0.522458039,-2.700019732,-1.357833989,0.016177509
16,0.5,0.554849774,-3.183630733,-1.518679887,0.016156505
18,0.05,0.539389,-2.66610728,-1.439083529,0.016130529
29,0.05,0.530280224,-2.298186008,-1.437524482,0.016058157
20,0.03,0.534592873,-2.542296261,-1.480062282,0.015884373
34,0.01,0.544889261,-2.385531619,-1.381305547,0.015715996
8,0.04,0.518530131,-2.679118689,-1.351125033,0.015693302
11,0.9,0.551902718,-3.089711478,-1.638953287,0.015685775
32,0.02,0.543985737,-2.422066335,-1.402018627,0.01565215
15,0.6,0.565621569,-3.65854318,-1.659109642,0.015563791
16,0.08,0.544040477,-2.738758481,-1.495481639,0.015399287
33,0.01,0.527500787,-2.235142816,-1.306761257,0.015380495
28,0.01,0.53602138,-2.339600186,-1.52139335,0.015283761
20,0.04,0.53171763,-2.525906889,-1.510727956,0.015259088
31,0.005,0.542731993,-2.356215451,-1.408813331,0.015231155
29,0.07,0.535344905,-2.409594201,-1.494940687,0.015230058
26,0.02,0.543414351,-2.594974224,-1.678552744,0.014880822
37,0.06,0.530065549,-2.44862184,-1.502438106,0.014552324
31,0.03,0.537201079,-2.373576414,-1.43321432,0.014540207
18,0.07,0.54292222,-2.751905347,-1.546247674,0.014311955
26,0.04,0.541843197,-2.637761801,-1.716826127,0.014255738
28,0.03,0.539342965,-2.334313557,-1.588379927,0.01415161
9,1,0.550219535,-2.955812985,-1.77407042,0.014120556
22,0.01,0.523431483,-2.86629723,-1.654124695,0.014104601
19,0.05,0.499559848,-2.433800828,-1.460485097,0.013628338
10,0.8,0.543754626,-3.04233335,-1.661603829,0.013618795
26,0.03,0.540201122,-2.63807427,-1.710986988,0.013614928
25,0.005,0.532061593,-2.409020303,-1.499830796,0.013316876
25,0.005,0.532061593,-2.409020303,-1.499830796,0.013316876
15,1,0.56545073,-4.055166081,-1.833534182,0.013275957
22,0.02,0.521071709,-2.835497504,-1.669204247,0.013261955
18,0.06,0.534983643,-2.747125002,-1.504503318,0.013253937
11,0.6,0.539184515,-2.826440474,-1.618461642,0.013143831
32,0.05,0.536837293,-2.375673191,-1.442026639,0.013062324
19,0.04,0.50147362,-2.378863074,-1.419739566,0.012983583
16,0.6,0.551934685,-3.167059339,-1.620919716,0.012928668
33,0.02,0.526740657,-2.314304019,-1.399379641,0.012860664
29,0.06,0.52781326,-2.306883953,-1.515614668,0.012717401
20,0.07,0.534976076,-2.561914426,-1.580756515,0.012617484
22,0.03,0.52119069,-2.853178093,-1.69793997,0.012568842
40,0.005,0.53525579,-2.328060905,-1.494322071,0.012002881
40,0.005,0.53525579,-2.328060905,-1.494322071,0.012002881
41,0.005,0.514452832,-2.182024383,-1.408469614,0.011847677
10,0.7,0.540434401,-2.934951011,-1.660506816,0.01180985
28,0.05,0.529133483,-2.379797701,-1.641848808,0.01177943
16,0.4,0.551325207,-3.141656548,-1.54335841,0.011385326
11,1,0.549559091,-3.155737951,-1.735536886,0.010888992
30,0.07,0.530230579,-2.575020077,-1.572603369,0.010565735
22,0.04,0.51715494,-2.846067529,-1.719218547,0.010490178
25,0.001,0.523059699,-2.428743455,-1.561784745,0.010370633
19,0.06,0.506545554,-2.457165875,-1.585022397,0.010025575
32,0.03,0.529163572,-2.395147897,-1.461217201,0.009932833
40,0.01,0.528810402,-2.301420105,-1.502567551,0.009459886
40,0.01,0.528810402,-2.301420105,-1.502567551,0.009459886
40,0.001,0.535572901,-2.333227781,-1.567210705,0.009417886
19,0.2,0.531122859,-2.921892351,-1.571803966,0.009401171
37,0.07,0.528603527,-2.558495062,-1.671243584,0.009388056
32,0.06,0.537120395,-2.475364301,-1.577392176,0.009385897
23,0.01,0.518828906,-2.720301936,-1.710380732,0.009036612
26,0.05,0.538622309,-2.599323309,-1.867380998,0.008764697
25,0.02,0.519394427,-2.376535975,-1.60675837,0.008591312
23,0.03,0.511492201,-2.733437835,-1.731214366,0.008399777
16,0.3,0.532181065,-3.185383562,-1.504911413,0.008295838
27,0.01,0.514397659,-2.497776622,-1.707659603,0.007665475
31,0.06,0.524695901,-2.44121704,-1.62032256,0.007647367
39,0.01,0.5335188,-2.40128239,-1.657822323,0.007407937
23,0.005,0.514102216,-2.728950315,-1.743995473,0.007407384
43,0.03,0.536659647,-2.25875868,-1.507149678,0.007380404
43,0.005,0.525600821,-2.199216737,-1.465245272,0.007377978
28,0.06,0.517874345,-2.379918889,-1.702878983,0.007285399
25,0.05,0.521014464,-2.445190503,-1.64572074,0.007175041
25,0.05,0.521014464,-2.445190503,-1.64572074,0.007175041
21,0.04,0.516618629,-2.549086616,-1.644046431,0.007164684
21,0.005,0.520592623,-2.594289492,-1.604292584,0.007063949
31,0.05,0.522881213,-2.424438366,-1.602479858,0.006946571
21,0.01,0.51736002,-2.597410234,-1.62404,0.00686604
8,0.9,0.529974832,-2.856846332,-1.641172886,0.006828826
25,0.01,0.522319312,-2.445172846,-1.640307828,0.006824177
25,0.01,0.522319312,-2.445172846,-1.640307828,0.006824177
23,0.04,0.50372998,-2.743458199,-1.72329425,0.006802565
27,0.02,0.513529553,-2.492334589,-1.727589887,0.006781884
16,0.1,0.537429626,-2.927683264,-1.72497119,0.006604441
22,0.05,0.518626092,-2.917637019,-1.806867198,0.006520265
48,0.02,0.520347234,-2.3610671,-1.520455998,0.00635352
33,0.04,0.513582782,-2.338963193,-1.541901726,0.006349295
8,0.7,0.526592934,-2.799028069,-1.606742523,0.006331066
31,0.04,0.524728689,-2.423143525,-1.619210507,0.006277049
40,0.03,0.522102606,-2.340840909,-1.554310499,0.006207214
43,0.06,0.536610542,-2.3836609,-1.576262865,0.005801251
13,0.09,0.529482604,-2.66013433,-1.774182578,0.005783809
48,0.01,0.521771566,-2.346694554,-1.53963275,0.005758703
36,0.01,0.540943942,-2.694546931,-1.652973649,0.005634652
40,0.02,0.521746541,-2.369834955,-1.616002127,0.005600981
43,0.02,0.526145483,-2.282042003,-1.530915697,0.005461019
41,0.02,0.5041757,-2.226763876,-1.458519689,0.005324663
25,0.06,0.520759347,-2.44365522,-1.734375202,0.005261206
39,0.03,0.531174674,-2.39762242,-1.679283762,0.0052083
28,0.04,0.524246161,-2.383223686,-1.798339772,0.005170199
8,0.8,0.526314794,-2.817587048,-1.654711059,0.005156869
16,0.8,0.547847355,-3.511593795,-1.949851737,0.005024025
39,0.005,0.525606556,-2.407022429,-1.670491767,0.005013923
43,0.01,0.524883364,-2.195542091,-1.51773885,0.004655047
21,0.02,0.515326176,-2.622741122,-1.719532029,0.004646302
17,0.08,0.545072289,-2.919128936,-1.835305634,0.004628173
45,0.005,0.508501256,-2.219331364,-1.531392659,0.004457633
45,0.005,0.508501256,-2.219331364,-1.531392659,0.004457633
48,0.005,0.519911545,-2.308108722,-1.5646702,0.00440946
46,0.02,0.521458333,-2.284497965,-1.596678002,0.004359862
27,0.005,0.511164594,-2.569151342,-1.802865116,0.004331581
43,0.04,0.531981753,-2.283519217,-1.572329079,0.004310453
26,0.06,0.538359254,-2.661223196,-1.975639849,0.004240777
21,0.03,0.510482662,-2.529496995,-1.690122911,0.004193832
17,0.09,0.54887975,-3.1195157,-1.903720067,0.00418689
32,0.04,0.524097687,-2.457167431,-1.602464376,0.004070195
41,0.01,0.508075684,-2.176040595,-1.513259843,0.003893505
3,0.05,0.574969541,-2.342649348,-1.453727023,0.003783199
3,0.05,0.574969541,-2.342649348,-1.453727023,0.003783199
52,0.01,0.523077226,-2.348903772,-1.53332052,0.003780317
32,0.07,0.533618251,-2.664246601,-1.786589852,0.003752927
36,0.005,0.536119699,-2.73026565,-1.678807007,0.003595747
23,0.02,0.500005424,-2.737033348,-1.796165493,0.003573497
39,0.04,0.529594455,-2.391207883,-1.718044987,0.003463354
46,0.005,0.522482129,-2.365713706,-1.669605065,0.00344693
17,0.5,0.53804353,-3.648766645,-2.026659782,0.003396304
38,0.01,0.51431995,-2.23756532,-1.527669791,0.003328985
41,0.03,0.510999629,-2.316373922,-1.577015131,0.003266244
39,0.02,0.528795625,-2.430679216,-1.709756294,0.003142065
45,0.02,0.505230536,-2.264876822,-1.56650921,0.003078083
3,0.08,0.573996843,-2.334212335,-1.43930236,0.00304408
48,0.04,0.532387898,-2.442893734,-1.583245082,0.002856487
24,0.04,0.513400111,-2.706013518,-1.866545546,0.00277847
35,0.005,0.524668494,-2.4398358,-1.687925452,0.002608309
35,0.005,0.524668494,-2.4398358,-1.687925452,0.002608309
